start,goal,distance,goal_risk_t150,std_late_risk,risk_late_risk,risk_reduction_pct_late,std_early_risk,late_interference_score,path_length_increase_pct_late,std_smoke_t150,risk_smoke_t150,smoke_reduction_t150
"(179, 91)","(91, 121)",92.97311439335567,0.339895,127.63130153,116.04102391765178,9.081061991382967,21.348918637779754,106.28238289222026,19.57434522644442,90.13508700000001,89.459045,0.6760420000000096
"(177, 188)","(137, 77)",117.98728745080972,0.999311,83.22043618266451,77.80652218266451,6.505510242840769,32.40139454323826,50.81904163942625,1.3241135202953531,60.22645,59.877486000000005,0.34896399999999517
"(106, 126)","(30, 47)",109.62207806824317,0.0,23.35687493729758,12.512766541565254,46.42790794934574,0.0,23.35687493729758,7.14612925382715,45.1253233,23.717106,21.408217299999997
"(102, 157)","(87, 30)",127.88275880665071,0.240634,35.085255216127514,6.4047133139210795,81.74528509350263,1.991340399404615e-16,35.085255216127514,25.918535883925074,69.64988856,4.594879730000001,65.05500882999999
"(85, 186)","(183, 46)",170.89177862027185,0.636775,21.714166182664524,20.52897618266452,5.458141887788446,1.5770941565170874e-21,21.714166182664524,0.9881917107588469,27.195066000000004,26.939514,0.2555520000000051
"(93, 187)","(179, 154)",92.11405973031478,0.385627,33.741233549019995,12.910406808435317,61.73700410306932,0.0,33.741233549019995,3.244638454817275,54.197638999999995,25.93283523,28.264803769999997
"(125, 145)","(1, 7)",185.52627846210896,0.0,12.341641459415928,7.9545139619859935,35.547358200742586,8.60909e-32,12.341641459415928,0.9501775804149255,15.8757657,12.0790277,3.7967380000000013
"(34, 182)","(158, 8)",213.66328650472454,0.599243,53.864788236140775,36.26082555922854,32.68176345507433,1.075057521e-29,53.864788236140775,10.535449880551727,88.7546313,60.23945163,28.515179670000002
"(55, 146)","(172, 157)",117.51595636338071,0.44568,32.11542872144992,9.664194700628112,69.90793806786895,0.0,32.11542872144992,25.335370656793188,49.68550869999999,19.69473823,29.990770469999994
"(10, 18)","(61, 157)",148.06079832285116,6.2096e-32,0.0016358786578609984,0.0015229163395795394,6.905299347151057,0.0,0.0016358786578609984,0.0,0.0,0.0,0.0
"(172, 31)","(50, 9)",123.96773773849388,0.0,43.26389546479287,38.742428596692875,10.450900963782734,6.114984828637443e-07,43.26389485329438,4.85378805615245,67.1878523,62.51096340000001,4.6768888999999945
